"","Date","Price","Volume"
"558","2017-07-10",2324.290039,341998621
"559","2017-07-11",2403.090088,257095280
"560","2017-07-12",2362.439941,208630220
"561","2017-07-13",2234.169922,257704533
"562","2017-07-14",1975.079956,320719096
"563","2017-07-15",1914.089966,364287861
"564","2017-07-16",2233.389893,368366495
"565","2017-07-17",2320.22998,465220151
"566","2017-07-18",2282.580078,357639189
"567","2017-07-19",2866.02002,807416890
"568","2017-07-20",2675.080078,529154789
"569","2017-07-21",2836.530029,341992860
"570","2017-07-22",2756.610107,299869260
"571","2017-07-23",2763.419922,229047365
"572","2017-07-24",2582.580078,534765380
"573","2017-07-25",2559.209961,340465234
"574","2017-07-26",2691.879883,269880857
"575","2017-07-27",2806.75,383479795
"576","2017-07-28",2733.5,230818894
"577","2017-07-29",2766.48999,222933516
"578","2017-07-30",2883.27002,254836601
"579","2017-07-31",2746.98999,341216428
"580","2017-08-01",2720.530029,222534344
"581","2017-08-02",2809.98999,188517085
"582","2017-08-03",2878.48999,195800289
"583","2017-08-04",3262.800049,503737620
"584","2017-08-05",3232.030029,196484496
"585","2017-08-06",3401.909912,294021645
"586","2017-08-07",3429.379883,366169429
"587","2017-08-08",3348.790039,324058681
"588","2017-08-09",3425.669922,242024460
"589","2017-08-10",3654.370117,345135492
"590","2017-08-11",3871.620117,469532325
"591","2017-08-12",4062.600098,638917500
"592","2017-08-13",4327.939941,540927757
"593","2017-08-14",4161.660156,872840682
"594","2017-08-15",4387.399902,472960334
"595","2017-08-16",4278.919922,554232802
"596","2017-08-17",4105.370117,603898315
"597","2017-08-18",4150.450195,462723151
"598","2017-08-19",4066.600098,288193446
"599","2017-08-20",4005.100098,365174045
"600","2017-08-21",4089.699951,659657838
"601","2017-08-22",4141.089844,402340258
"602","2017-08-23",4318.350098,305373477
"603","2017-08-24",4364.410156,362283252
"604","2017-08-25",4352.299805,199403922
"605","2017-08-26",4345.75,185180843
"606","2017-08-27",4390.310059,325285703
"607","2017-08-28",4597.310059,455467850
"608","2017-08-29",4583.02002,313466398
"609","2017-08-30",4735.109863,338981145
"610","2017-08-31",4921.850098,491140364
"611","2017-09-01",4573.799805,747713818
"612","2017-09-02",4612.919922,470135795
"613","2017-09-03",4267.450195,737216060
"614","2017-09-04",4409.080078,673846827
"615","2017-09-05",4618.709961,504717245
"616","2017-09-06",4635.600098,324939872
"617","2017-09-07",4326.450195,786819863
"618","2017-09-08",4335.129883,332195251
"619","2017-09-09",4245.890137,451244396
"620","2017-09-10",4217.899902,375254125
"621","2017-09-11",4158.919922,453402207
"622","2017-09-12",3870.290039,728385231
"623","2017-09-13",3243.080078,1118258889
"624","2017-09-14",3713.76001,1519153953
"625","2017-09-15",3698.919922,627559216
"626","2017-09-16",3689.610107,351250484
"627","2017-09-17",4100.279785,586938661
"628","2017-09-18",3907.959961,488897829
"629","2017-09-19",3882.159912,342438072
"630","2017-09-20",3617.27002,543570164
"631","2017-09-21",3600.830078,414612501
"632","2017-09-22",3788.02002,253370774
"633","2017-09-23",3667.52002,183852135
"634","2017-09-24",3932.830078,386674961
"635","2017-09-25",3892.699951,248481868
"636","2017-09-26",4212.200195,480358673
"637","2017-09-27",4195.649902,386909537
"638","2017-09-28",4172.790039,404599756
"639","2017-09-29",4360.620117,290796939
"640","2017-09-30",4403.089844,262485153
"641","2017-10-01",4401.319824,314621927
"642","2017-10-02",4314.180176,353046057
"643","2017-10-03",4218.660156,272424730
"644","2017-10-04",4321.439941,271914958
"645","2017-10-05",4371.939941,269878225
"646","2017-10-06",4435.810059,176332039
"647","2017-10-07",4611.700195,323063950
"648","2017-10-08",4777.490234,518586828
"649","2017-10-09",4763.359863,475717720
"650","2017-10-10",4824.200195,338533507
"651","2017-10-11",5432.620117,848641969
"652","2017-10-12",5637.259766,1211469140
"653","2017-10-13",5824.709961,434406119
"654","2017-10-14",5688.140137,571166215
"655","2017-10-15",5759.330078,349154669
"656","2017-10-16",5598.580078,368658284
"657","2017-10-17",5575.830078,654722509
"658","2017-10-18",5698.649902,469774559
"659","2017-10-19",5993.109863,729487923
"660","2017-10-20",6006.649902,684989667
"661","2017-10-21",5982.859863,618893096
"662","2017-10-22",5903.609863,801148315
"663","2017-10-23",5513.080078,811951129
"664","2017-10-24",5734,585738379
"665","2017-10-25",5887.609863,547664553
"666","2017-10-26",5764.560059,488283724
"667","2017-10-27",5726.609863,305611140
"668","2017-10-28",6147.52002,966990808
"669","2017-10-30",6124.279785,481600502
"670","2017-10-31",6451.240234,637838767
"671","2017-11-01",6737.779785,869798619
"672","2017-11-02",7024.810059,1663170039
"673","2017-11-03",7152.120117,1120978013
"674","2017-11-04",7363.799805,773371754
"675","2017-11-05",7389.549805,789287755
"676","2017-11-06",6959.22998,1148125488
"677","2017-11-07",7102.75,716798409
"678","2017-11-08",7444.359863,1632547465
"679","2017-11-09",7129.589844,915963933
"680","2017-11-10",6565.799805,1513421266
"681","2017-11-11",6339.859863,878096915
"682","2017-11-12",5878.129883,1629165385
"683","2017-11-13",6522.450195,1135256036
"684","2017-11-14",6597.060059,634604991
"685","2017-11-15",7283.220215,922959468
"686","2017-11-16",7853.680176,1010130763
"687","2017-11-17",7699.950195,917599923
"688","2017-11-18",7780.910156,571121111
"689","2017-11-19",8042.640137,541391321
"690","2017-11-20",8244.69043,617354329
"691","2017-11-21",8099.970215,938345413
"692","2017-11-22",8234.549805,539697375
"693","2017-11-23",8013.410156,555465146
"694","2017-11-24",8200.799805,595710405
"695","2017-11-25",8754.69043,718483679
"696","2017-11-26",9318.419922,782499976
"697","2017-11-27",9733.200195,1025175619
"698","2017-11-28",9906.040039,865328615
"699","2017-11-29",9837.860352,2418792360
"700","2017-11-30",9946.759766,1836210107
"701","2017-12-01",10861.469727,1353669597
"702","2017-12-02",10912.730469,950474241
"703","2017-12-03",11246.209961,1380012064
"704","2017-12-04",11623.910156,1057859226
"705","2017-12-05",11667.129883,1048839303
"706","2017-12-06",13749.570313,2437037791
"707","2017-12-07",16850.310547,4510225316
"708","2017-12-08",16047.610352,4546014731
"709","2017-12-09",14843.419922,2699876215
"710","2017-12-10",15059.599609,2904037859
"711","2017-12-11",16732.470703,2634267594
"712","2017-12-12",17083.900391,2246138895
"713","2017-12-13",16286.820313,2576055941
"714","2017-12-14",16467.910156,1773813863
"715","2017-12-15",17604.849609,2682351213
"716","2017-12-16",19345.490234,2078806368
